Aircraft type Id,Short name,Manufacturer,Model name,ICAO code,IATA code,Handling category,Fuel type,Fuel process,Max fuel capacity in liter,MTOW kg,MTOW ton,Wing span in meter,Wing area in m2,Length in meter,Height in meter,Number of seats,Range in km,De-ice category,Noise chapter,Noise category,Hanger category,Ground power type,Remarks,Export values,Number of engines,MTOW in US Pounds
c93f149f-597c-4e5d-9fb1-1b8f1b32b042,B214ST,Bell,Bell-214ST SuperTransport,BSTP,,H02,,,,7937,8,,,,,16,,,,,,,,,,17498
4cd58889-beab-4595-a90d-7395f46be17c,B412,Bell,412,B412,,H02,Jet Fuel,Overwing,,5398,6,,,,,13,,A,,,,115V/AC - 220V/DC,ADP GA 4,,2,11901
e4d684e1-a516-4682-83e6-583165b2cc77,B427,Bell,Bell B427,B427,,H01,,,,2971,3,,,,,7,,,,,,,,,,6550
2150c720-15a8-444a-b322-c56e5482958f,B429,Bell,429 GlobalRanger,B429,,H01,Jet Fuel,Overwing,821,3175,4,10.97,,13.1,4.4,7,722,,,,,,,,1,7000
6026f6c6-a885-480c-b21d-f38ae32e891e,B430,Bell,430,B430,,H02,,,,5000,5,,,,,8,,A,,,,,,,2,11023
8cd89a4d-13da-46ac-8417-7bcf653de50d,B505,Bell,505 Jet Ranger X,B505,,B00,,,,650,1,,,,,,,,,,,,,,,1433
cdb3ccf2-74e1-4384-8d46-61cc69077af7,B707BJ,Boeing,707-300,B703,,C04,Jet Fuel,Pressure,,152000,152,,,,,147,,D,,,,115V/AC - 220V/DC,ADP GA : 3,"JP Handling Category(Japan): 4, MLW(Hawaii): 190000, Singapore WSSS PF(Singapore): 102.85",4,335103
39837a81-4536-46ef-b81f-e24356d05dde,B717-200,Boeing,717-200,B712,,C00,,,,54875,55,,,,,106,,,,,,,,JP Handling Category(Japan): 5,,120979
f903c531-c5d6-4c59-89f9-eb3bfdd275d3,B720,Boeing,720,B720,,C03,Jet Fuel,Pressure,,107000,107,,,,,167,,C,,,,115V/AC - 220V/DC,ADP GA : 3,,4,235895
6ce7782a-499a-42df-bbbd-bacdcab0b533,B727-100,Boeing,727-100,B721,,C_JP5,Jet Fuel,Pressure,,80000,80,32.9,,40.6,10.3,149,,C,,,,115V/AC - 220V/DC,ADP GA : 3,"JP Handling Category(Japan): 5, MLW(Hawaii): 247000, Noise cat EGSS(STANSTED): CH3high",3,176370
279b2f2b-82fb-4631-88ff-b6fd98b4f22e,B727-200,Boeing,727-200,B722,,C_JP5,Jet Fuel,Pressure,,95300,96,32.9,,46.7,10.3,189,,C,,,,115V/AC - 220V/DC,ADP GA : 4,"JP Handling Category(Japan): 5, MLW(Hawaii): 150000, Noise cat EGSS(STANSTED): CH3high, Singapore WSSS PF(Singapore): 98.00",3,210101
a8796f3f-7199-4ad8-804a-b101514309cb,B737-100,Boeing,737-100,B731,,B14,Jet Fuel,Pressure,,43999,44,,,,,100,,C,,,,115V/AC - 220V/DC,ADP GA : 2,"CAT LIDER(Brazil): E, JP Handling Category(Japan): 5, MLW(Hawaii): 101000",2,97001
cfe959f8-2928-4671-a792-689fb5d76a8f,B737-200,Boeing,737-200,B732,,C_JP5,Jet Fuel,Pressure,,59000,59,,,,,130,,C,,,,115V/AC - 220V/DC,ADP GA : 2,"JP Handling Category(Japan): 5, MLW(Hawaii): 105000, Noise cat EGSS(STANSTED): CH3high, Singapore WSSS PF(Singapore): 49.50",2,130073
d27354ee-5c6c-47fd-a4b2-5aa1a958ffa2,B737-300,Boeing,737-300,B733,,C_JP5,Jet Fuel,Pressure,0,62820,63,,0,,,128,,C,,,,115V/AC - 220V/DC,ADP GA : 2,"JP Handling Category(Japan): 5, MLW(Hawaii): 115800, Noise cat EGSS(STANSTED): CH3base, Singapore WSSS PF(Singapore): 49.50",2,138494
ee3850c5-57cc-4849-bf16-ae5e8d2e5fb3,B737-300F,Boeing,737-300F,B733,,C_JP5,,,,63276,64,,,,,149,,C,,,,115V/AC - 220V/DC,ADP GA : 2,"JP Handling Category(Japan): 5, Singapore WSSS PF(Singapore): 49.50",2,139500
a25e5a70-bfd4-46e6-a44c-24e15f2f3fbd,B737-400,Boeing,737-400,B734,,C_JP5,Jet Fuel,Pressure,,79000,79,,,,,147,,C,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 5, MLW(Hawaii): 124000",2,174165
250066ac-e43e-4135-9926-5d46b3d4a277,B737-500,Boeing,737-500,B735,,C_JP5,Jet Fuel,Pressure,,61000,61,,,,,132,,C,,,,115V/AC - 220V/DC,ADP GA : 5,"JP Handling Category(Japan): 5, MLW(Hawaii): 110000, Singapore WSSS PF(Singapore): 49.50",2,134482
4c64b854-f149-4853-a767-f29d90d33a11,B737-600,Boeing,737-600,B736,,C01,Jet Fuel,Pressure,,65000,65,,,,,132,,C,,,,115V/AC - 220V/DC,ADP GA : 5,JP Handling Category(Japan): 5,2,143300
3fbc9ec8-d7dd-4f0c-9559-5519ee0eff52,B737-700,Boeing,737-700,B737,,C_JP5,Jet Fuel,Pressure,,80000,80,34.3,,33.6,,149,,C,,,,115V/AC - 220V/DC,ADP GA : 5,"CAT LIDER(Brazil): E, Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, JP Handling Category(Japan): 5, MLW(Hawaii): 128000, Noise cat EGSS(STANSTED): CH4",2,176370
1d9b02f3-7d90-44c5-810c-8623f53455a5,B737-73Q,Boeing,737-400 Combi,B734,,C_JP5,,,,71000,71,,,,,72,,,,,,,,,,156528
f0571be2-7bc2-4a1d-8ee3-07c2ae4e11d9,B737-800,Boeing,737-800,B738,,C_JP5,Jet Fuel,Pressure,0,79000,79,34.3,0,39.47,,162,,C,,,,115V/AC - 220V/DC,ADP GA : 5,"Global Jet Luxembourg UV Avamex Special Agreement(UV Avemex): Yes, JP Handling Category(Japan): 5, MLW(Hawaii): 144000, Noise cat EGSS(STANSTED): CH3base",2,174165
